{'loss': 0.6731, 'grad_norm': 2.0106403827667236, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.08}                                                      
{'loss': 0.6514, 'grad_norm': 6.881335258483887, 'learning_rate': 4.9828090080797664e-05, 'epoch': 0.17}                                                      
{'loss': 0.6365, 'grad_norm': 2.4627585411071777, 'learning_rate': 4.896854048478597e-05, 'epoch': 0.25}                                                      
{'loss': 0.6179, 'grad_norm': 7.675586223602295, 'learning_rate': 4.8108990888774286e-05, 'epoch': 0.33}                                                      
{'loss': 0.6218, 'grad_norm': 4.8476104736328125, 'learning_rate': 4.72494412927626e-05, 'epoch': 0.42}                                                       
{'loss': 0.6122, 'grad_norm': 1.9578925371170044, 'learning_rate': 4.63898916967509e-05, 'epoch': 0.5}                                                        
{'loss': 0.609, 'grad_norm': 2.8270721435546875, 'learning_rate': 4.5530342100739216e-05, 'epoch': 0.58}                                                      
{'loss': 0.6057, 'grad_norm': 1.188141107559204, 'learning_rate': 4.4670792504727523e-05, 'epoch': 0.67}                                                      
{'loss': 0.6049, 'grad_norm': 1.4674235582351685, 'learning_rate': 4.381124290871583e-05, 'epoch': 0.75}                                                      
{'loss': 0.6006, 'grad_norm': 3.700695276260376, 'learning_rate': 4.2951693312704145e-05, 'epoch': 0.83}                                                      
{'loss': 0.5936, 'grad_norm': 3.478276491165161, 'learning_rate': 4.209214371669245e-05, 'epoch': 0.92}                                                       
{'eval_loss': 0.5834517478942871, 'eval_accuracy': 0.68, 'eval_f1': 0.679, 'eval_precision': 0.679, 'eval_recall': 0.678, 'eval_runtime': 41.6564, 'eval_samples_per_second': 1153.293, 'eval_steps_per_second': 144.18, 'epoch': 1.0}                                                                                      
{'loss': 0.5901, 'grad_norm': 2.9092726707458496, 'learning_rate': 4.123259412068077e-05, 'epoch': 1.0}                                                       
{'loss': 0.5879, 'grad_norm': 2.0877528190612793, 'learning_rate': 4.0373044524669075e-05, 'epoch': 1.08}                                                     
{'loss': 0.583, 'grad_norm': 2.034721851348877, 'learning_rate': 3.951349492865738e-05, 'epoch': 1.17}                                                        
{'loss': 0.5808, 'grad_norm': 2.0786361694335938, 'learning_rate': 3.86539453326457e-05, 'epoch': 1.25}                                                       
{'loss': 0.5749, 'grad_norm': 6.4196858406066895, 'learning_rate': 3.7794395736634005e-05, 'epoch': 1.33}                                                     
{'loss': 0.5775, 'grad_norm': 4.2023234367370605, 'learning_rate': 3.693484614062231e-05, 'epoch': 1.42}                                                      
{'loss': 0.5706, 'grad_norm': 3.701767921447754, 'learning_rate': 3.607529654461063e-05, 'epoch': 1.5}                                                        
{'loss': 0.5694, 'grad_norm': 1.5466909408569336, 'learning_rate': 3.5215746948598935e-05, 'epoch': 1.58}                                                     
